Question,type,wrangling,coding,d.trees,sna,nlp,viz,n.nets,googleable,non.googleable,jitl,substantive,text,avg.correct,difficulty,correct.shinyOutput,4050.2,4050.3,4050.4,4050.5,4050.6,4050.7,4051.1,4051.2,4051.3,4051.5,LMGT,PC1,PC2,PC3,PC4,PC5
1,Multiple Choice,1,1,0,0,0,0,0,1,0,0,0,"I have a data frame named DATA with the following variables: student_id, grade, gender, logins, comments. What code would I use to create a data frame containing only student_id and logins?",0.807692308,easy,"80% of students answered this question correctly                                        on last year's midterm",1,1,1,0,0,0,0,1,0,0,0,0.347,NA,NA,-0.19,NA
2,Multiple Choice,0,1,0,0,0,0,0,0,1,0,0,"Lalitha has anonymized a data set by replacing student names with a variable called student_id. student_id is a random number given to each student, what class of variable should student_id be in R?",0.230769231,hard,"23% of students answered this question correctly                                        on last year's midterm",0,0,0,0,0,0,0,0,0,0,1,0.353,NA,NA,-0.157,-0.212
3,Multiple Choice,1,1,0,0,0,1,0,1,0,0,0,"Which R package (library) would you utilize to group students by grade, and produce the average test score for each grade?",0.769230769,easy,"76% of students answered this question correctly                                        on last year's midterm",0,1,0,0,0,0,0,0,0,0,0,NA,0.22,NA,NA,-0.213
4,Coding,1,1,0,0,0,1,0,0,1,0,0,What is the R code to convert DF1 into DF2?,0.076923077,hard,"7% of students answered this question correctly                                        on last year's midterm",1,1,0,0,0,0,0,1,0,0,0,NA,NA,0.407,NA,NA
5,Multiple Choice,1,0,0,0,0,0,0,1,0,0,0,A tidy data set is one in which...,1,easy,"100% of students answered this question correctly                                        on last year's midterm",0,0,0,0,0,0,0,0,0,0,1,NA,NA,NA,NA,NA
6,Multiple Choice,0,1,0,0,0,0,0,0,1,0,0,"You have received a .csv data file from a colleague in Europe. You are excited about it and decide to immediately upload it into R. Unfortunately you get the error, non-numeric argument to binary operator. What might be the most likley cause?",0.269230769,hard,"26% of students answered this question correctly                                        on last year's midterm",0,0,0,0,0,0,0,0,0,0,1,-0.132,NA,-0.115,-0.446,0.151
7,Multiple Choice,0,0,1,0,0,0,0,1,0,0,0,"When building CART models, what is the spliSing criteria",0.769230769,easy,"76% of students answered this question correctly                                        on last year's midterm",0,0,0,1,1,1,1,0,0,0,0,-0.333,0.16,0.123,-0.127,NA
8,Multiple Choice,0,1,1,0,0,0,0,1,0,0,0,Refer to the data frame above named DF. What package (library) would you use to build a CART model that predicts engagement from the other numeric variables?,1,easy,"100% of students answered this question correctly                                        on last year's midterm",0,0,0,1,1,1,1,0,0,0,0,NA,NA,NA,NA,NA
9,Coding,0,1,1,0,0,0,0,1,0,0,0,What is the R code to fit the CART model using this library?,0.153846154,hard,"15% of students answered this question correctly                                        on last year's midterm",0,0,0,1,1,1,1,0,0,0,0,NA,0.177,-0.141,NA,-0.253
10,Multiple Choice,0,0,1,0,0,0,0,1,0,0,0,What is recursive partitioning?,0.653846154,medium,"65% of students answered this question correctly                                        on last year's midterm",0,0,0,1,1,1,1,0,0,0,0,-0.123,NA,NA,0.472,NA
11,Multiple Choice,0,0,0,1,0,0,0,1,0,0,0,"In Social Network Analysis, why is an ego network useful?",0.923076923,easy,"92% of students answered this question correctly                                        on last year's midterm",1,0,0,0,0,0,0,1,0,0,0,0.298,NA,NA,0.136,NA
12,Coding,0,1,0,1,0,0,0,1,0,0,0,What is the R code to create a graph object from the matrix above?,0.423076923,medium,"42% of students answered this question correctly                                        on last year's midterm",1,1,0,0,0,1,0,1,0,0,0,NA,0.155,NA,0.304,0.24
13,Coding,0,1,0,1,0,0,0,1,0,1,0,What is the R code to extract the Bonacich Power Centrality from this graph object?,0.653846154,medium,"65% of students answered this question correctly                                        on last year's midterm",1,0,0,0,0,0,0,1,0,0,0,-0.106,NA,NA,0.15,-0.349
14,Multiple Choice,0,0,0,1,0,0,0,0,1,0,0,What are the main two families of approach to finding subgroup structure in Social Networks?,0.576923077,medium,"57% of students answered this question correctly                                        on last year's midterm",1,0,0,0,0,0,0,1,0,0,0,-0.36,NA,0.181,NA,0.248
15,Free Form,0,0,0,1,0,0,0,1,0,0,0,Define the term maximal complete sub-graph,0.576923077,medium,"57% of students answered this question correctly                                        on last year's midterm",0,0,0,0,0,0,0,1,0,0,0,0.204,NA,0.29,NA,NA
16,Coding,0,1,0,1,0,0,0,1,0,0,0,You have created an igraph object called g. What is the R code to extract the the size of the largest clique in the graph?,0.192307692,hard,"19% of students answered this question correctly                                        on last year's midterm",0,0,0,0,0,0,0,1,0,0,0,NA,NA,0.463,NA,NA
17,Multiple Choice,0,0,0,0,1,0,0,1,0,0,0,Natural Language Processing utilizes a bag of words approach. This refers to:,0.538461538,medium,"53% of students answered this question correctly                                        on last year's midterm",0,0,0,0,0,0,0,0,1,0,0,NA,0.156,0.116,-0.426,NA
18,Free Form,0,0,0,0,1,0,0,1,0,0,0,What is the purpose of pre-processing in NLP?,0.615384615,medium,"61% of students answered this question correctly                                        on last year's midterm",0,0,0,0,0,0,0,0,1,0,0,NA,0.365,NA,NA,NA
19,Free Form,0,0,0,0,1,0,0,0,1,0,0,In the following sentence which words would be considered stop words: The quick brown fox jumps over the lazy dog,0.115384615,hard,"11% of students answered this question correctly                                        on last year's midterm",0,0,0,0,0,0,0,0,1,0,0,NA,NA,0.328,-0.146,0.144
20,Coding,0,1,0,0,1,0,0,1,0,0,0,What is the R code to remove whitespace from a corpus?,0.769230769,easy,"76% of students answered this question correctly                                        on last year's midterm",0,0,0,0,0,0,0,0,1,0,0,NA,0.141,NA,NA,0.326
21,Multiple Choice,0,0,0,0,1,0,0,1,0,0,0,In LDA topic modeling a topic is defined as:,0.384615385,medium,"38% of students answered this question correctly                                        on last year's midterm",0,0,0,0,0,0,0,0,1,0,0,-0.282,NA,-0.165,-0.178,NA
22,Free Form,0,0,0,0,1,0,0,1,0,0,0,What is a Term Frequency Inverse Document Frequency and what does it tell us about a corpus?,0.692307692,easy,"69% of students answered this question correctly                                        on last year's midterm",0,0,0,0,0,0,0,0,1,0,0,-0.165,NA,-0.212,NA,0.531
23,Coding,0,1,0,0,1,0,0,0,1,0,1,What is the R code to generate a Term Frequency Inverse Document Frequency from a Document Term Matrix named dtm?,0.5,medium,"50% of students answered this question correctly                                        on last year's midterm",0,0,0,0,0,0,0,0,1,0,0,NA,0.115,0.191,0.269,0.209
24,Free Form,0,0,0,0,1,0,0,0,1,0,1,Describe three uses for NLP in educational settings,0.769230769,easy,"76% of students answered this question correctly                                        on last year's midterm",0,0,0,0,0,0,0,0,1,0,0,0.154,NA,-0.342,-0.132,0.111
25,Free Form,0,0,0,0,1,0,0,0,1,0,1,Describe a possible danger with the application of NLP to educational data,0.807692308,easy,"80% of students answered this question correctly                                        on last year's midterm",0,0,0,0,0,0,0,0,1,0,0,0.316,0.15,NA,NA,0.178
26,Coding,0,1,0,0,0,1,0,0,1,0,0,"Referring to the data frame above, using the R package (library) ggplot2, what is the R code to generate a line graph where each students' score changes are visualized as their own line on a single panel?",0.5,medium,"50% of students answered this question correctly                                        on last year's midterm",0,0,0,0,0,1,0,0,0,0,0,NA,0.295,0.236,-0.153,-0.146
27,Free Form,0,0,0,0,0,0,1,1,0,1,0,"In neural networks, what is the delta rule?",0.730769231,easy,"73% of students answered this question correctly                                        on last year's midterm",0,0,0,0,0,0,0,0,0,1,0,NA,0.405,NA,NA,0.13
28,Multiple Choice,0,0,0,0,0,0,1,1,0,0,1,"In neural networks, what is the purpose of back-propagagtion?",0.615384615,medium,"61% of students answered this question correctly                                        on last year's midterm",0,0,0,0,0,0,0,0,0,1,0,-0.274,0.252,-0.101,NA,NA
29,Free Form,0,0,0,0,0,0,1,0,1,0,1,What benefits do you believe artificial intelligence might bring to education?,0.769230769,easy,"76% of students answered this question correctly                                        on last year's midterm",0,0,0,0,0,0,0,0,0,0,1,NA,0.365,NA,NA,NA
30,Free Form,0,0,0,0,0,0,0,0,1,0,0,What dangers do you foresee with greater use of artificial intelligence in educational settings?,0.653846154,medium,"65% of students answered this question correctly                                        on last year's midterm",0,0,0,0,0,0,0,0,0,0,1,NA,0.411,NA,NA,NA